example_id                                            | status  | run_time        |
----------------------------------------------------- | ------- | --------------- |
./spec/controllers/bears_controller_spec.rb[1:1:1]    | pending | 0.00208 seconds |
./spec/controllers/bears_controller_spec.rb[1:2:1]    | pending | 0.00235 seconds |
./spec/controllers/bears_controller_spec.rb[1:3:1]    | passed  | 0.00644 seconds |
./spec/controllers/bears_controller_spec.rb[1:4:1]    | pending | 0.0023 seconds  |
./spec/controllers/bears_controller_spec.rb[1:5:1:1]  | pending | 0.00927 seconds |
./spec/controllers/bears_controller_spec.rb[1:5:1:2]  | pending | 0.00192 seconds |
./spec/controllers/bears_controller_spec.rb[1:5:1:3]  | pending | 0.00205 seconds |
./spec/controllers/bears_controller_spec.rb[1:5:2:1]  | pending | 0.00188 seconds |
./spec/controllers/bears_controller_spec.rb[1:5:2:2]  | pending | 0.00195 seconds |
./spec/controllers/bears_controller_spec.rb[1:6:1:1]  | pending | 0.00187 seconds |
./spec/controllers/bears_controller_spec.rb[1:6:1:2]  | pending | 0.00189 seconds |
./spec/controllers/bears_controller_spec.rb[1:6:1:3]  | pending | 0.00199 seconds |
./spec/controllers/bears_controller_spec.rb[1:6:2:1]  | pending | 0.0019 seconds  |
./spec/controllers/bears_controller_spec.rb[1:6:2:2]  | pending | 0.00189 seconds |
./spec/controllers/bears_controller_spec.rb[1:7:1]    | pending | 0.00198 seconds |
./spec/controllers/bears_controller_spec.rb[1:7:2]    | pending | 0.00249 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:1] | failed  | 0.18033 seconds |
./spec/helpers/bears_helper_spec.rb[1:1]              | pending | 0.00002 seconds |
./spec/helpers/sessions_helper_spec.rb[1:1]           | pending | 0.00002 seconds |
./spec/models/bear_spec.rb[1:1]                       | pending | 0.00002 seconds |
./spec/models/user_spec.rb[1:1]                       | pending | 0.00002 seconds |
./spec/requests/bears_spec.rb[1:1:1]                  | passed  | 0.02273 seconds |
./spec/requests/users_logins_spec.rb[1:1:1]           | passed  | 0.22781 seconds |
./spec/requests/users_signups_spec.rb[1:1:1]          | failed  | 0.0018 seconds  |
./spec/requests/users_spec.rb[1:1:1]                  | passed  | 0.27035 seconds |
./spec/requests/users_spec.rb[1:1:2]                  | passed  | 0.04354 seconds |
./spec/routing/bears_routing_spec.rb[1:1:1]           | passed  | 0.00194 seconds |
./spec/routing/bears_routing_spec.rb[1:1:2]           | passed  | 0.04546 seconds |
./spec/routing/bears_routing_spec.rb[1:1:3]           | passed  | 0.00221 seconds |
./spec/routing/bears_routing_spec.rb[1:1:4]           | passed  | 0.00203 seconds |
./spec/routing/bears_routing_spec.rb[1:1:5]           | passed  | 0.00197 seconds |
./spec/routing/bears_routing_spec.rb[1:1:6]           | passed  | 0.00206 seconds |
./spec/routing/bears_routing_spec.rb[1:1:7]           | passed  | 0.00206 seconds |
./spec/views/bears/edit.html.erb_spec.rb[1:1]         | passed  | 0.01478 seconds |
./spec/views/bears/index.html.erb_spec.rb[1:1]        | passed  | 0.05875 seconds |
./spec/views/bears/new.html.erb_spec.rb[1:1]          | passed  | 0.14018 seconds |
./spec/views/bears/show.html.erb_spec.rb[1:1]         | passed  | 0.0548 seconds  |
./spec/views/sessions/new.html.erb_spec.rb[1:1]       | pending | 0.00002 seconds |
